ModelName,TrainingStatus,StartDate,TrainingPeriod,IsTest,AUC,AP,Timestamp
DNN_2020-08-18T15:56:58,Finished,2019.10.18.00.00,-1,1,0.5,0.0007,1597737426
DNN_2020-08-18T21:27:04,Finished,2019.10.18.00.00,-1,1,0.6524,0.003,1597757232
DNN_2020-08-18T21:35:56,Finished,2019.10.18.00.00,-1,1,0.3975,0.0006,1597757765
